dail,electiondate,elecyear,district,districtid,party,partyid,name,pid,duplicate,m,ncand,electorate,quota,totalvote,validvote,spoiledvote,turnout,firstpref,finalvote,voteshare,quotashare,count,resultnotes,result,seat,enter_mt,exit_mt,byelec,bynote,female,age,birthyear,est_age,est_birthyear,deathyear,death,inc,local,mayor,seanad,euro,cruns,cwins,birthplace,localborn,occupation,iscoid,educode,eduyears,school,feeschool,university,ucd,edufield,edufieldcode,post_local,pre_local,post_cand,pre_cand,post_mp,pre_mp,hereditary,cablegacy,samename,samedistrict,samecounty,pre_fam,post_fam,familynotes,generation,familyline,family,predrelation,govparty,juniorgovparty,cabappt,cab1,cab2,cab3,cab4,cab5,cab6,cabexp,juniorappt,junior1,junior2,junior3,junior4,junior5,juniorexp,speaker,name_original
21,6/16/1977,1977,Dun Laoghaire,121,IND,10,"O'Higgins O'Malley, Una",4777,0,4,10,54064,7612,38312,38055,257,.7086,3305,3884,.0868,.43,6,,0,0,0,0,0,.,1,50,1927,50,1927,2005,0,0,,,,0,1,0,,,,,,,,,,,,,0,1,0,1,0,1,0,1,1,0,1,"O'Higgins, Michael (Cousin); O'Higgins2, Tom Jnr (Cousin); O'Higgins1, Dr Thomas Francis (Tom) Snr (Uncle); O'Higgins, Kevin (Father)",,,10,12810,128,12,0,0,0,,,,,,,0,0,,,,,,0,0,Una O'Higgins O'Malley
13,2/4/1948,1948,Dublin South West,119,FG,2,"O'Higgins, Michael",4781,0,5,13,55924,6601,39604,39604,,,3243,6151,.0819,.49,11,,1,5,0,0,0,.,0,31,1917,31,1917,2005,0,0,1,0,0,0,1,1,"Crookstown, County Kildare",0,Solicitor,2,4,16,"St Mary's College, Dublin, Clongowes Wood College",1,Incorporated Law Society of Ireland,0,Law,1,0,1,1,1,0,1,0,1,1,0,1,"O'Higgins1, Dr Thomas Francis (Tom) Snr (Father); O'Higgins, Kevin (Uncle)","O'Higgins O'Malley, Una (Cousin, unsuccessful)","O'Higgins2, Tom Jnr (Brother, both elected in 1948); Brigid Hogan O'Higgins (née Hogan) (Wife, married after her election)",9,12809,128,1,1,0,0,,,,,,,0,0,,,,,,0,0,Michael O'Higgins
14,5/30/1951,1951,Dublin South West,119,FG,2,"O'Higgins, Michael",4781,0,5,12,60934,7000,41997,41997,,,2754,3521,.0656,.39,8,,0,0,0,0,0,.,0,34,1917,34,1917,2005,0,1,1,0,0,0,2,1,"Crookstown, County Kildare",0,Solicitor,2,4,16,"St Mary's College, Dublin, Clongowes Wood College",1,Incorporated Law Society of Ireland,0,Law,1,0,1,1,1,0,1,0,1,1,0,1,"O'Higgins1, Dr Thomas Francis (Tom) Snr (Father); O'Higgins, Kevin (Uncle)","O'Higgins O'Malley, Una (Cousin, unsuccessful)","O'Higgins2, Tom Jnr (Brother, both elected in 1948); Brigid Hogan O'Higgins (née Hogan) (Wife, married after her election)",9,12809,128,1,0,0,0,,,,,,,0,0,,,,,,0,0,Michael O'Higgins
15,5/18/1954,1954,Dublin South West,119,FG,2,"O'Higgins, Michael",4781,0,5,13,63545,7276,43651,43651,,,4783,6915,.1096,.66,10,,1,4,0,0,0,.,0,37,1917,37,1917,2005,0,0,1,0,1,0,3,2,"Crookstown, County Kildare",0,Solicitor,2,4,16,"St Mary's College, Dublin, Clongowes Wood College",1,Incorporated Law Society of Ireland,0,Law,1,0,1,1,1,0,1,0,1,1,0,1,"O'Higgins1, Dr Thomas Francis (Tom) Snr (Father); O'Higgins, Kevin (Uncle)","O'Higgins O'Malley, Una (Cousin, unsuccessful)","O'Higgins2, Tom Jnr (Brother, both elected in 1948); Brigid Hogan O'Higgins (née Hogan) (Wife, married after her election)",9,12809,128,1,1,0,0,,,,,,,0,0,,,,,,0,0,Michael O'Higgins
16,3/5/1957,1957,Dublin South West,119,FG,2,"O'Higgins, Michael",4781,0,5,12,63286,6603,39617,39617,,,4830,7340,.1219,.73,7,,1,3,0,0,0,.,0,40,1917,40,1917,2005,0,1,1,0,1,0,4,3,"Crookstown, County Kildare",0,Solicitor,2,4,16,"St Mary's College, Dublin, Clongowes Wood College",1,Incorporated Law Society of Ireland,0,Law,1,0,1,1,1,0,1,0,1,1,0,1,"O'Higgins1, Dr Thomas Francis (Tom) Snr (Father); O'Higgins, Kevin (Uncle)","O'Higgins O'Malley, Una (Cousin, unsuccessful)","O'Higgins2, Tom Jnr (Brother, both elected in 1948); Brigid Hogan O'Higgins (née Hogan) (Wife, married after her election)",9,12809,128,1,0,0,0,,,,,,,0,0,,,,,,0,0,Michael O'Higgins
17,10/4/1961,1961,Wicklow,141,FG,2,"O'Higgins, Michael",4781,0,3,6,35394,5849,23394,23394,,,3516,6335,.1503,.6,5,,1,3,0,0,0,.,0,44,1917,44,1917,2005,0,1,1,0,1,0,5,4,"Crookstown, County Kildare",0,Solicitor,2,4,16,"St Mary's College, Dublin, Clongowes Wood College",1,Incorporated Law Society of Ireland,0,Law,1,0,1,1,1,0,1,0,1,1,0,0,"O'Higgins1, Dr Thomas Francis (Tom) Snr (Father); O'Higgins, Kevin (Uncle)","O'Higgins O'Malley, Una (Cousin, unsuccessful)","O'Higgins2, Tom Jnr (Brother, both elected in 1948); Brigid Hogan O'Higgins (née Hogan) (Wife, married after her election)",9,12809,128,1,0,0,0,,,,,,,0,0,,,,,,0,0,Michael O'Higgins
18,4/7/1965,1965,Wicklow,141,FG,2,"O'Higgins, Michael",4781,0,3,5,35213,6292,25167,25167,,,4141,6711,.1645,.66,3,,1,2,0,0,0,.,0,48,1917,48,1917,2005,0,1,1,0,1,0,6,5,"Crookstown, County Kildare",0,Solicitor,2,4,16,"St Mary's College, Dublin, Clongowes Wood College",1,Incorporated Law Society of Ireland,0,Law,1,0,1,1,1,0,1,0,1,1,0,0,"O'Higgins1, Dr Thomas Francis (Tom) Snr (Father); O'Higgins, Kevin (Uncle)","O'Higgins O'Malley, Una (Cousin, unsuccessful)","O'Higgins2, Tom Jnr (Brother, both elected in 1948); Brigid Hogan O'Higgins (née Hogan) (Wife, married after her election)",9,12809,128,1,0,0,0,,,,,,,0,0,,,,,,0,0,Michael O'Higgins
19,6/18/1969,1969,Wicklow,141,FG,2,"O'Higgins, Michael",4781,0,3,7,37578,7025,28097,28097,,,4883,5543,.1738,.7,5,,0,0,0,0,0,.,0,52,1917,52,1917,2005,0,1,1,0,1,0,7,5,"Crookstown, County Kildare",0,Solicitor,2,4,16,"St Mary's College, Dublin, Clongowes Wood College",1,Incorporated Law Society of Ireland,0,Law,1,0,1,1,1,0,1,0,1,1,0,0,"O'Higgins1, Dr Thomas Francis (Tom) Snr (Father); O'Higgins, Kevin (Uncle)","O'Higgins O'Malley, Una (Cousin, unsuccessful)","O'Higgins2, Tom Jnr (Brother, both elected in 1948); Brigid Hogan O'Higgins (née Hogan) (Wife, married after her election)",9,12809,128,1,0,0,0,,,,,,,0,0,,,,,,0,0,Michael O'Higgins
11,6/23/1943,1943,Dublin South,116,FG,2,"O'Higgins2, Tom Jnr",4783,0,7,19,81004,6641,53122,53122,,,1461,,.0275,.22,0,,0,0,0,0,0,.,0,27,1916,27,1916,2003,0,0,0,0,0,0,1,0,"Cork City, County Cork",0,"Barrister, Judge",2,4,16,"St. Mary's College, Dublin, Clongowes Wood College",1,"University College Dublin, King's Inn",1,Law,1,1,1,1,1,1,1,0,1,1,0,0,"O'Higgins1, Dr Thomas Francis (Tom) Snr (Father); O'Higgins, Kevin (Uncle)","O'Higgins O'Malley, Una (Cousin, unsuccessful)","O'Higgins, Michael (Brother, both elected in 1948)",8,12808,128,1,0,0,0,,,,,,,0,0,,,,,,0,0,Tom O'Higgins Jnr
13,2/4/1948,1948,Leix Offaly,127,FG,2,"O'Higgins2, Tom Jnr",4783,0,5,16,62687,7896,47373,47373,,,5458,8002,.1152,.6899999999999999,10,,1,3,0,0,0,.,0,32,1916,32,1916,2003,0,0,0,0,0,0,2,1,"Cork City, County Cork",0,"Barrister, Judge",2,4,16,"St. Mary's College, Dublin, Clongowes Wood College",1,"University College Dublin, King's Inn",1,Law,1,1,1,1,1,1,1,0,1,1,1,1,"O'Higgins1, Dr Thomas Francis (Tom) Snr (Father); O'Higgins, Kevin (Uncle)","O'Higgins O'Malley, Una (Cousin, unsuccessful)","O'Higgins, Michael (Brother, both elected in 1948)",8,12808,128,1,1,0,0,,,,,,,0,0,,,,,,0,0,Tom O'Higgins Jnr
